date,purchase,sale,midpoint,exchange_rate,spread_market_day_x-1_over_oer_day_x_midpoint
2003-04-01,3950,3954,3952.0,3945.0,0.0
2003-04-02,3951,3956,3953.5,3945.0,0.18
2003-04-03,3951,3956,3953.5,3945.0,0.22
2003-04-04,3952,3957,3954.5,3945.0,0.22
2003-04-05,3952,3958,3955.0,3945.0,0.24
2003-04-06,3952,3958,3955.0,3945.0,0.25
2003-04-07,3952,3958,3955.0,3945.0,0.25
2003-04-08,3952,3958,3955.0,3945.0,0.25
2003-04-09,3952,3957,3954.5,3945.0,0.25
2003-04-10,3952,3957,3954.5,3945.0,0.24
2003-04-11,3951,3957,3954.0,3945.0,0.24
2003-04-12,3951,3958,3954.5,3945.0,0.23
2003-04-13,3951,3958,3954.5,3945.0,0.24
2003-04-14,3951,3958,3954.5,3945.0,0.24
2003-04-15,3951,3958,3954.5,3945.0,0.24
2003-04-16,3951,3958,3954.5,3945.0,0.24
2003-04-17,3951,3958,3954.5,3945.0,0.24
2003-04-18,3952,3959,3955.5,3945.0,0.24
2003-04-19,3951,3958,3954.5,3945.0,0.27
2003-04-20,3961,3969,3965.0,3945.0,0.24
2003-04-21,3963,3970,3966.5,3950.0,0.38
2003-04-22,3964,3970,3967.0,3950.0,0.42
2003-04-23,3970,3978,3974.0,3950.0,0.43
2003-04-24,3978,3986,3982.0,3955.0,0.48
2003-04-25,3991,3999,3995.0,3955.0,0.68
2003-04-26,3983,3993,3988.0,3955.0,1.01
2003-04-27,3970,3983,3976.5,3955.0,0.83
2003-04-28,3983,3991,3987.0,3960.0,0.42
2003-04-29,3991,4000,3995.5,3960.0,0.68
2003-04-30,3993,4003,3998.0,3960.0,0.9
2003-05-01,3985,3999,3992.0,3960.0,2.06
2003-05-02,3994,4001,3997.5,3960.0,0.81
2003-05-03,3994,4001,3997.5,3960.0,0.95
2003-05-04,3994,4001,3997.5,3960.0,0.95
2003-05-05,3995,4002,3998.5,3960.0,0.95
2003-05-06,3998,4006,4002.0,3965.0,0.84
2003-05-07,3998,4006,4002.0,3965.0,0.93
2003-05-08,3996,4003,3999.5,3965.0,0.93
2003-05-09,3997,4004,4000.5,3965.0,0.87
2003-05-10,3999,4005,4002.0,3965.0,0.9
2003-05-11,3999,4005,4002.0,3965.0,0.93
2003-05-12,3999,4005,4002.0,3965.0,0.93
2003-05-13,3999,4004,4001.5,3965.0,0.93
2003-05-14,4002,4008,4005.0,3965.0,0.92
2003-05-15,4004,4010,4007.0,3965.0,1.01
2003-05-16,4013,4020,4016.5,3965.0,1.06
2003-05-17,4013,4020,4016.5,3965.0,1.3
2003-05-18,4013,4020,4016.5,3965.0,1.3
2003-05-19,4013,4020,4016.5,3965.0,1.3
2003-05-20,4017,4025,4021.0,3965.0,1.3
2003-05-21,4037,4051,4044.0,3975.0,1.16
2003-05-22,4051,4069,4060.0,3995.0,1.23
2003-05-23,4065,4087,4076.0,4015.0,1.12
2003-05-24,4077,4107,4092.0,4015.0,1.52
2003-05-25,4073,4096,4084.5,4015.0,1.92
2003-05-26,4058,4071,4064.5,4035.0,1.23
2003-05-27,4029,4042,4035.5,4025.0,0.98
2003-05-28,4020,4030,4025.0,4015.0,0.51
2003-05-29,4014,4026,4020.0,4005.0,0.5
2003-05-30,4029,4045,4037.0,4005.0,0.37
2003-05-31,4035,4048,4041.5,4005.0,0.8
2003-06-01,4032,4045,4038.5,4005.0,-0.37
2003-06-02,4032,4045,4038.5,4005.0,0.84
2003-06-03,4042,4050,4046.0,4005.0,0.84
2003-06-04,4040,4049,4044.5,4005.0,1.02
2003-06-05,4038,4045,4041.5,4005.0,0.99
2003-06-06,4039,4047,4043.0,4050.0,-0.21
2003-06-07,4040,4048,4044.0,4050.0,-0.17
2003-06-08,4039,4044,4041.5,4050.0,-0.15
2003-06-09,4037,4043,4040.0,4050.0,-0.21
2003-06-10,4038,4045,4041.5,4005.0,0.87
2003-06-11,4040,4046,4043.0,4005.0,0.91
2003-06-12,4040,4048,4044.0,4015.0,0.7
2003-06-13,4040,4049,4044.5,4025.0,0.47
2003-06-14,4041,4048,4044.5,4025.0,0.48
2003-06-15,4041,4048,4044.5,4025.0,0.48
2003-06-16,4042,4050,4046.0,4025.0,0.48
2003-06-17,4046,4053,4049.5,4030.0,0.4
2003-06-18,4046,4053,4049.5,4030.0,0.48
2003-06-19,4047,4053,4050.0,4030.0,0.48
2003-06-20,4041,4048,4044.5,4030.0,0.5
2003-06-21,4040,4046,4043.0,4030.0,0.36
2003-06-22,4040,4046,4043.0,4030.0,0.32
2003-06-23,4040,4046,4043.0,4025.0,0.45
2003-06-24,4036,4042,4039.0,4025.0,0.45
2003-06-25,4027,4033,4030.0,4015.0,0.6
2003-06-26,4025,4032,4028.5,4015.0,0.37
2003-06-27,4012,4018,4015.0,4010.0,0.46
2003-06-28,4006,4013,4009.5,4010.0,0.12
2003-06-29,3990,3997,3993.5,4010.0,-0.01
2003-06-30,3986,3994,3990.0,3990.0,0.09
2003-07-01,3990,3997,3993.5,3985.0,0.23
2003-07-02,4001,4011,4006.0,3985.0,0.21
2003-07-03,4005,4012,4008.5,3985.0,0.53
2003-07-04,3996,4004,4000.0,3985.0,0.59
2003-07-05,4000,4007,4003.5,3985.0,0.38
2003-07-06,3998,4005,4001.5,3985.0,0.46
2003-07-07,3995,4002,3998.5,3985.0,0.41
2003-07-08,3991,3997,3994.0,3985.0,0.34
2003-07-09,3989,3995,3992.0,3985.0,0.23
2003-07-10,3989,3995,3992.0,3985.0,0.18
2003-07-11,3991,3998,3994.5,3985.0,0.18
2003-07-12,3991,3998,3994.5,3985.0,0.24
2003-07-13,3991,3998,3994.5,3985.0,0.24
2003-07-14,3993,4000,3996.5,3985.0,0.24
2003-07-15,3996,4002,3999.0,3985.0,0.29
2003-07-16,3995,4002,3998.5,3985.0,0.35
2003-07-17,3996,4002,3999.0,3985.0,0.34
2003-07-18,3996,4002,3999.0,3985.0,0.35
2003-07-19,3996,4002,3999.0,3985.0,0.35
2003-07-20,4005,4013,4009.0,3985.0,0.35
2003-07-21,4015,4026,4020.5,4000.0,0.23
2003-07-22,4015,4023,4019.0,4000.0,0.51
2003-07-23,4015,4023,4019.0,4000.0,0.48
2003-07-24,4015,4023,4019.0,4000.0,0.48
2003-07-25,4014,4021,4017.5,4000.0,0.48
2003-07-26,3996,4003,3999.5,4000.0,0.44
2003-07-27,3996,4003,3999.5,4000.0,-0.01
2003-07-28,3993,4005,3999.0,4000.0,-0.01
2003-07-29,3970,3990,3980.0,3990.0,0.23
2003-07-30,3981,3991,3986.0,3985.0,-0.13
2003-07-31,3990,3998,3994.0,3985.0,0.03
2003-08-01,3990,3998,3994.0,3985.0,1.49
2003-08-02,4000,4009,4004.5,3985.0,0.23
2003-08-03,4006,4012,4009.0,3985.0,0.49
2003-08-04,4007,4014,4010.5,3990.0,0.48
2003-08-05,4008,4014,4011.0,4000.0,0.26
2003-08-06,4012,4019,4015.5,4000.0,0.28
2003-08-07,4014,4021,4017.5,4005.0,0.26
2003-08-08,4011,4017,4014.0,4005.0,0.31
2003-08-09,4011,4018,4014.5,4005.0,0.22
2003-08-10,4006,4013,4009.5,4005.0,0.24
2003-08-11,4006,4013,4009.5,4005.0,0.11
2003-08-12,4005,4012,4008.5,4005.0,0.11
2003-08-13,4005,4012,4008.5,4005.0,0.09
2003-08-14,4009,4016,4012.5,4005.0,0.09
2003-08-15,4014,4021,4017.5,4005.0,0.19
2003-08-16,4016,4022,4019.0,4005.0,0.31
2003-08-17,4018,4024,4021.0,4005.0,0.35
2003-08-18,4022,4029,4025.5,4005.0,0.4
2003-08-19,4030,4040,4035.0,4015.0,0.26
2003-08-20,4030,4040,4035.0,4015.0,0.5
2003-08-21,4026,4033,4029.5,4020.0,0.37
2003-08-22,4026,4033,4029.5,4020.0,0.24
2003-08-23,4025,4033,4029.0,4020.0,0.24
2003-08-24,4025,4033,4029.0,4020.0,0.22
2003-08-25,4026,4033,4029.5,4020.0,0.22
2003-08-26,4030,4037,4033.5,4020.0,0.24
2003-08-27,4036,4044,4040.0,4020.0,0.34
2003-08-28,4039,4046,4042.5,4025.0,0.37
2003-08-29,4042,4048,4045.0,4025.0,0.43
2003-08-30,4045,4051,4048.0,4025.0,0.5
2003-08-31,4041,4048,4044.5,4025.0,0.57
2003-09-01,4035,4041,4038.0,4025.0,-0.57
2003-09-02,4038,4045,4041.5,4025.0,0.32
2003-09-03,4039,4045,4042.0,4025.0,0.41
2003-09-04,4036,4042,4039.0,4025.0,0.42
2003-09-05,4028,4034,4031.0,4020.0,0.47
2003-09-06,4021,4028,4024.5,4020.0,0.27
2003-09-07,4021,4028,4024.5,4020.0,0.11
2003-09-08,4019,4025,4022.0,4015.0,0.24
2003-09-09,4015,4021,4018.0,4010.0,0.3
2003-09-10,4014,4021,4017.5,4010.0,0.2
2003-09-11,4014,4019,4016.5,4010.0,0.19
2003-09-12,4011,4017,4014.0,4010.0,0.16
2003-09-13,4011,4017,4014.0,4010.0,0.1
